prenume
ADRIANE
ADRIEN
ADRIENE
AFIZE
AGNES
ÁGNES
AGRIŞ
AIGHIUL
AINARDY
AITEN
AITUL
ALICE
ALIE
ALIS
ALIZ
ANE
ANELISE
ANEMARI
ANEMARIE
ANETT
ANGI
ANI
ANIFE
ANII
ANIKO
ANIKÓ
ANILORE
ANIMARI
ANITTE
ANKE
ANNABELLE
ANNE
ANNELIESE
ANNEMARIE
ASTRID
ATIGE
AUGUSTINE
AURAŞ
BABY
BEATRICE
BEATRIS
BEATRIX
BEDRIE
BEINAZ
BELGHIUZER
BERNADET
BERNADETT
BETI
BIANKE
BILGHIN
BILSAN
BRIGITTE
CADRIE
CALIOPI
CAMEL
CAMER
CARLOS
CARMEN
CATI
CATRINEL
CHARLOTTE
CHEANIDAN
CHRISTEL
CHRISTIANE
CHRISTINE
CICI
CITI
CLOTILDE
DAGMAR
DAKMAR
DALI
DAMARIS
DELÉNKE
DELINKE
DENISANE
DENISE
DIDI
DILBER
DILEK
DILVER
DOLLY
DOLORES
DORIS
EDIT
EDITH
ELENI
ELENN
ELIS
ELISABETH
ELKE
ELYSABETTE
EMEL
EMESE
EMEȘE
EMÖKE
EMÖKÉ
EMŐKE
ENICŐ
ENIKO
ENIKÖ
ENIKŐ
ERGHIUL
ERJI
ERSZÉBET
ERZSEBET
ERZSÉBET
ERZSI
ESTHER
ESZTER
ETTY
ETY
EVELINE
EVIKE
FELICITAS
FERIDE
FEUZIE
FIGAN
FILIS
FILIZ
FLOARE
FLORANCE
FLORI
FLORICEL
FLORY
FLUTURAŞ
GABI
GEILAN
GENI
GERHILD
GERLINDE
GERTRUD
GERTRUDE
GEVAIR
GHIULAN
GHIULENDAN
GHIULER
GHIULGIAN
GHIULGIEAN
GHIULHAN
GHIULINAS
GHIULMABER
GHIULNAZ
GHIULŞEN
GHIULSERIN
GHIULTEN
GHIUNUR
GHIUZIN
GIUMAZIE
GŐNŰL
GRETI
GRETY
GUDRUN
GULER
GÜLÜMSER
GÜNGHIOR
GYŐNGY
GYÖNGYI
GYŐNGYI
GYONGYIKE
GYÖNGYIKE
GYONGYVER
GYÖNGYVÉR
GYÖNYGYVER
GYOPÁR
HAIETTE
HAINAL
HAINALKO
HAJNAL
HAJNI
HANDERIS
HANELORE
HANNELORE
HAYNAL
HEDVIG
HEDWIG
HELEN
HELÉN
HILDEGARD
HRISANTI
IBOIKO
IBOYO
IFET
ILDI
ILDICO
ILDIKO
ILDIKÓ
ILDIKŐ
ILDOKO
ILMIAN
ILMIE
ILONKO
ILSE
ILZE
INDIRAN
INGE
INGHEBORG
INGRID
IOLAN
IREN
IRÉN
IRENE
IRÉNKE
IRINGÓ
IRIS
IUDIT
IUDITH
IULCI
IVETTE
IVONNE
JACINT
JACQLLINE
JANETE
JANETTE
JAQUELINE
JENI
JOLAN
JUDIT
JUDITH
JULIANE
KARIN
KARMEN
KATALIN
KATI
KATÓ
KINCSŐ
KITTY
LACME
LAKME
LENCHE
LENKE
LILI
LILIANE
LIUBOVI
LIVER
LONŢI
LORELEI
LUCI
LUYSE
MAGDALENE
MALI
MAMURIE
MARCI
MARGHET
MARGHIT
MARGIT
MARI
MARIANNE
MARIAŞ
MARIE
MĂRIE
MARION
MARIŢIE
MARY
MATILD
MAVIE
MELEC
MERIEM
MERY
MERYEM
MICHAELLE
MILADI
MIMI
MIRIAM
MOGDUŞ
MORGHIT
MUBIGIAN
MUNISER
MUŞGHIAN
NAFIE
NANCI
NARCIZ
NEBAT
NEBIS
NEGHEAR
NEJIVAN
NELI
NERIFŞAN
NERIMAN
NERMIN
NESLIHAN
NESRIN
NETI
NETTY
NETY
NEUGIS
NEVISER
NEVRIE
NICOLETTE
NILGÜN
NIRAN
NOEMI
NOÉMI
NÓÉMI
NORI
NORIZAN
NURDAN
NURGIAN
NURTEN
NUŢI
OLI
ORTRUN
ÖZSÉB
PACHEL
PĂLĂGUŢĂ
PANĂ
PONTI
REIHAN
RELI
RELLY
REMENCHE
REMENKE
RENATE
RENATTE
ROSAMOND
ROSEMARIE
ROZALIE
ROZEMARI
ROZSI
RUBIE
RUTH
SABER
SADIE
SAFET
ŞASET
SAVER
SELGIAN
SERCIN
SERIAN
SERVIM
SEVIDAN
SEVIM
SEVINCI
SIBEL
SILKE
SIMONE
ŞIRIN
SORĂ
SUNHILD
SZENDE
SZENDI
TANŢI
TEREZ
TEREZIE
TUNDE
TÜNDE
TŰNDE
TÜNDI
TURCHEAN
TURCHIAN
ŢUŢULIE
ULCHER
UMIRAN
VALI
VALY
VICTORICĂ
VILDAN
VILHELMINE
VIRAG
VIVI
VIVIEN
ZERRIN
ZIŞAN
ZIZI
ZOE
ZSOFI
NATALIE
MICHELLE
CATY
IZABEL
