prenume
AHILEEA
ALEXA
ALIOȘA
ANANIA
ash
ATILA
ATILLA
ATTILA
ATTILLA
BADEA
BARNA
BELA
BÉLA
BELLA
BOGHIŢA
BOJA
BOJINCA
BORA
BRACEA
CAIŢA
CHIREA
CIABA
CODREA
CONDREA
CORNEA
COSMA
COSTA
COSTEA
COSTICA
COZMA
CRISTEA
CSABA
DELCEA
DIMA
DOBIŢA
DRAGALINA
DRIDEA
DUCA
EFTA
EMRA
EREMIA
ERIMIA
FEDEA
FINTA
FLOREA
FLORIA
FOCA
FOMA
FRANGULEA
GARINCHA
GAVRILA
GEILA
GEIZA
GEZA
GÉZA
GHEIZA
GHENA
GHEZA
GHÉZA
GHINEA
GHITA
GHIŢA
GHIURIŢA
GICA
GIOCA
GIOGA
GIULA
GIURIŢA
GORIŢA
GRAMA
GRIȘA
GRUIA
GYULA
GYURIKA
HERERA
HOREA
HORIA
HORIEA
HUBA
IARCA
IBRAHIMA
IOCȘA
IORGA
IOSA
IOSKA
IOŢA
IOVA
IREMIA
IRIMIA
ISAIA
ISAIIA
ISAILA
IURA
IVIŢA
JANEA
JENEA
JIGA
JIPA
JIVA
JIVIŢA
JOIA
JORA
JOSKA
LAZA
LECA
LEONIDA
LIONIDA
LIUBIȘA
LOICA
LUCA
LUPEA
LUPȘA
MAITREYA
MANEA
MANOLEA
MANTA
MARINCEA
MAZOLA
MICȘA
MIHAILA
MIHĂIŢA
MIHALCEA
MIHNEA
MILEA
MILJA
MINEA
MIRCEA
MIRCIA
MIREA
MIRECEA
MIȘA
MISTEA
MITA
MITEA
MITICA
NEBOIȘA
NECHITA
NICA
NICHITA
NICOLA
NICULITA
OANCIA
ONICA
ONIZA
OPREA
OTILA
OTTILA
OVESA
PAIA
PANDELEA
PENEA
PERA
PERIŢA
PETREA
PETRIA
PETRICA
PINTEA
PIȘTA
PREDA
PUIA
RAIA
RISTA
RISTEA
RIVERA
RIZIA
ROMICA
RUPA
SAȘA
Sasha
ȘAŢA
SAVA
SERIOJA
SIMA
SINIȘA
SMILEA
SPASA
SPASOICA
SPIREA
SREDA
STELEA
STELICA
STEREA
STEVA
STILA
STOCA
STOICA
SURIA
TILEA
TIMA
TOLEA
TOMA
TRAIA
TUIA
UDREA
VAIDEA
VALEA
VALIUȘA
VALODEA
VANEA
VANIA
VANIUȘCA
VASEA
VASILICĂ
VELA
VIA
VLADA
VOINA
VOINEA
VOLODEA
VOLODIA
YAHYA
ZAHARIA
ZAINEA
ZĂLEA
ZELEA
ZIEA
ZOSIMA
